chembl_id,EC50[nM]
CHEMBL1645398,25.12
CHEMBL1645399,10
CHEMBL1645400,6.31
CHEMBL1645401,3.98
CHEMBL1645402,12.59
CHEMBL1645403,56.295
CHEMBL1649686,7300
CHEMBL1649687,5600
CHEMBL1649688,50800
CHEMBL1649689,25300
CHEMBL1649690,109500
CHEMBL1649691,123500
CHEMBL1649692,109000
CHEMBL1682441,26.8
CHEMBL1762202,37.5
CHEMBL1762203,35.2
CHEMBL1762204,125.3
CHEMBL1762209,184.5
CHEMBL1760023,281.95
CHEMBL1762210,58.25
CHEMBL1800979,5678.5
CHEMBL1800980,7500
CHEMBL1800981,70.475
CHEMBL1800982,33.15
CHEMBL1800983,1425.925
CHEMBL1800984,28.5
CHEMBL1800985,47.075
CHEMBL1800986,7500
CHEMBL1800987,7500
CHEMBL1801003,5775
CHEMBL1801004,294.125
CHEMBL1801005,3927.975
CHEMBL1801006,76.4
CHEMBL1801007,7500
CHEMBL1801008,44.9
CHEMBL1801009,125.55
CHEMBL1801010,10000
CHEMBL1801011,10000
CHEMBL1801012,219.3666666667
CHEMBL1801013,907.25
CHEMBL1834533,0.78
CHEMBL1834534,0.43
CHEMBL1834535,8.78
CHEMBL1834536,0.71
CHEMBL1834537,3.93
CHEMBL1834538,0.38
CHEMBL1834539,21.1
CHEMBL1834540,7.35
CHEMBL1834541,1.75
CHEMBL1834542,1.87
CHEMBL1834543,2.82
CHEMBL1834544,2.97
CHEMBL1911144,4171.75
CHEMBL1911145,4169.5
CHEMBL1911146,4303.25
CHEMBL1911147,1509.48
CHEMBL1911148,4928.75
CHEMBL1911149,3030.92
CHEMBL1911150,178.6
CHEMBL1911151,205.96
CHEMBL1911152,84.275
CHEMBL1911153,2599.95
CHEMBL1911154,300.4
CHEMBL1911155,1090.68
CHEMBL1911156,243.96
CHEMBL1911157,330.8
CHEMBL1911158,3794
CHEMBL1911159,4157.5
CHEMBL1911160,5067.1666666667
CHEMBL1911268,3237.8
CHEMBL1911269,3119.82
CHEMBL1911270,34.24
CHEMBL1911271,5580
CHEMBL1911272,120.34
CHEMBL1911273,166.86
CHEMBL1911274,64.898
CHEMBL1911275,803
CHEMBL1911276,1096.88
CHEMBL1911277,3051.34
CHEMBL1911278,21.625
CHEMBL1911279,54.5
CHEMBL1911280,165.04
CHEMBL1911281,467.76
CHEMBL1911282,141.5
CHEMBL1911283,3152.56
CHEMBL1911284,1400.5
CHEMBL1911285,457
CHEMBL1911542,18
CHEMBL1911543,2000
CHEMBL1911544,473
CHEMBL1911545,2000
CHEMBL1911546,2000
CHEMBL1911547,2000
CHEMBL1911548,9
CHEMBL1911644,21
CHEMBL1911646,94
CHEMBL1911647,230
CHEMBL1911648,640
CHEMBL1911649,28
CHEMBL1911650,21
CHEMBL1911651,33
CHEMBL1911652,976
CHEMBL1911653,2000
CHEMBL1911654,113
CHEMBL1911655,311
CHEMBL1911656,125
CHEMBL1911657,16
CHEMBL1911658,45
CHEMBL1911659,356
CHEMBL1911660,2000
CHEMBL1911661,1040
CHEMBL1911662,1062.5
CHEMBL1911664,1060
CHEMBL1917243,535
CHEMBL1917245,45.5
CHEMBL1917246,17
CHEMBL1917247,50
CHEMBL1917248,295
CHEMBL1917253,55.6
CHEMBL1917413,22.4
CHEMBL1917414,32.45
CHEMBL1917415,17.3
CHEMBL1917416,13.3
CHEMBL2113263,10
