chembl_id,scaffold
CHEMBL1801007,36
CHEMBL1801008,36
CHEMBL1801009,36
CHEMBL1801010,36
CHEMBL1801011,36
CHEMBL1801012,36
CHEMBL1801013,36
CHEMBL1834533,74
CHEMBL1834534,74
CHEMBL1834535,73
CHEMBL1834536,74
CHEMBL1834537,74
CHEMBL1834538,74
CHEMBL1834539,74
CHEMBL1834540,75
CHEMBL1834541,75
CHEMBL1834542,75
CHEMBL1834543,75
CHEMBL1834544,75
CHEMBL1911144,48
CHEMBL1911145,48
CHEMBL1911146,48
CHEMBL1911147,48
CHEMBL1911148,48
CHEMBL1911149,48
CHEMBL1911150,48
CHEMBL1911151,48
CHEMBL1911152,48
CHEMBL1911153,48
CHEMBL1911154,48
CHEMBL1911155,48
CHEMBL1911156,48
CHEMBL1911157,48
CHEMBL1911158,48
CHEMBL1911159,48
CHEMBL1911160,48
CHEMBL1911268,48
CHEMBL1911269,48
CHEMBL1911270,48
CHEMBL1911271,48
CHEMBL1911272,48
CHEMBL1911273,48
CHEMBL1911274,48
CHEMBL1911275,48
CHEMBL1911276,47
CHEMBL1911277,47
CHEMBL1911278,47
CHEMBL1911279,47
CHEMBL1911280,46
CHEMBL1911281,46
CHEMBL1911282,46
CHEMBL1911283,48
CHEMBL1911284,48
CHEMBL1911285,48
CHEMBL1911542,19
CHEMBL1911543,19
CHEMBL1911544,19
CHEMBL1911545,19
CHEMBL1911546,19
CHEMBL1911547,19
CHEMBL1911548,19
CHEMBL1911644,19
CHEMBL1911646,19
CHEMBL1911647,19
CHEMBL1911648,19
CHEMBL1911649,19
CHEMBL1911650,19
CHEMBL1911651,19
CHEMBL1911652,19
CHEMBL1911653,19
CHEMBL1911654,19
CHEMBL1911655,17
CHEMBL1911656,17
CHEMBL1911657,17
CHEMBL1911658,17
CHEMBL1911659,17
CHEMBL1911660,17
CHEMBL1911661,17
CHEMBL1911662,17
CHEMBL1911664,17
CHEMBL1917243,55
CHEMBL1917245,55
CHEMBL1917246,55
CHEMBL1917247,55
CHEMBL1917248,55
CHEMBL1917253,38
CHEMBL1917413,39
CHEMBL1917414,38
CHEMBL1917415,40
CHEMBL1917416,41
CHEMBL2113263,15
