"chembl_id"," LogP"," SMR"," TPSA"," Molecular Weight"," Rotatable Bonds"," H-Bond Donors"," H-Bond Acceptors"," Aromatic Rings"
"CHEMBL79807",5.63,112.0108,38.05,406.185669828,3,1,3,3
"CHEMBL313062",5.7777,118.5208,47.28,454.1868127,4,1,4,3
"CHEMBL81111",6.1443,117.0628,38.05,422.156119288,3,1,3,3
"CHEMBL83110",5.93842,116.7478,38.05,420.201319892,3,1,3,3
"CHEMBL313400",5.6386,118.5628,47.28,436.196234512,4,1,4,3
"CHEMBL433586",2.4189,95.4874,94.83,378.184252184,1,3,4,0
"CHEMBL1370",2.7168,112.8666,93.06,430.235538808,4,2,6,0
"CHEMBL372684",6.7056,127.4358,38.05,444.16716264,3,1,4,4
"CHEMBL364015",5.025,109.8058,50.94,407.180918796,3,1,4,3
"CHEMBL363179",6.7056,127.4358,38.05,444.16716264,3,1,4,4
"CHEMBL193404",6.2058,114.9398,38.05,428.112540224,3,1,4,3
"CHEMBL195972",6.7056,127.4358,38.05,444.16716264,3,1,4,4
"CHEMBL363137",5.3649,124.418,75.63,435.240958536,8,2,4,2
"CHEMBL372102",4.62132,134.4493,112.66,490.190400184,8,3,6,4
"CHEMBL197161",4.6372,123.372,75.63,429.194008344,8,2,4,3
"CHEMBL197100",5.2583,129.742,67.79,463.21588666,9,2,5,3
"CHEMBL196237",5.9347,142.072,75.63,485.2566086,9,2,4,3
"CHEMBL196051",4.4819,124.9948,95.86,463.179501152,8,3,5,3
"CHEMBL194745",3.8015,100.9038,95.86,441.119935588,7,3,5,2
"CHEMBL196067",3.9568,99.281,75.63,407.13444278,7,2,4,2
"CHEMBL195021",3.4144,98.9,75.63,353.162708216,6,2,4,2
"CHEMBL196373",4.0505,108.064,75.63,381.194008344,7,2,4,2
"CHEMBL196374",3.94092,110.3583,112.66,468.13083462,7,3,6,3
"CHEMBL194802",5.2096,126.0408,95.86,469.226451344,8,3,5,2
"CHEMBL195962",5.34902,135.4953,112.66,496.237350376,8,3,6,3
"CHEMBL208840",5.19282,125.2335,92.43,488.192292004,7,2,5,3
"CHEMBL211441",5.82892,134.3975,92.43,516.223592132,9,2,5,3
"CHEMBL213453",5.19282,125.2335,92.43,488.192292004,8,2,5,3
"CHEMBL386448",4.80272,123.0495,92.43,486.17664194,7,2,5,3
"CHEMBL210077",4.80272,120.6165,92.43,474.17664194,7,2,5,3
"CHEMBL214336",5.04872,125.1635,92.43,488.192292004,7,2,5,3
"CHEMBL385450",5.58292,129.8505,92.43,502.207942068,9,2,5,3
"CHEMBL377154",4.41262,115.9995,92.43,460.160991876,6,2,5,3
"CHEMBL211266",5.43882,129.7805,92.43,502.207942068,8,2,5,3
"CHEMBL210185",5.19282,127.6665,92.43,500.192292004,7,2,5,3
"CHEMBL208996",5.58292,132.2835,92.43,514.207942068,7,2,5,3
"CHEMBL383890",5.97302,136.9005,92.43,528.223592132,7,2,5,3
"CHEMBL384467",1.8957,99.9444,94.83,392.199902248,2,3,5,0
"CHEMBL216272",4.03112,117.9345,101.66,476.155906496,7,2,6,3
"CHEMBL221044",5.99,142.6908,77.35,509.22359422,11,1,6,2
"CHEMBL375812",6.0413,129.5558,68.65,463.181729408,9,1,5,3
"CHEMBL243455",7.2533,154.02,71.03,528.208278504,4,2,6,3
"CHEMBL394369",6.1195,130.1883,70.95,447.15042928,3,3,6,3
"CHEMBL395716",6.7736,134.9785,59.95,461.166079344,4,2,6,3
"CHEMBL243469",6.1361,141.0073,80.18,491.176644028,6,3,7,3
"CHEMBL429466",7.2791,142.0272,62.75,528.169448384,6,3,6,3
"CHEMBL395717",6.49888,128.9805,74.51,442.135113564,2,2,6,3
"CHEMBL243656",7.2229,135.2803,70.95,515.137813908,4,3,6,3
"CHEMBL243657",8.3902,155.171,67.79,527.213029536,4,2,6,3
"CHEMBL244535",6.8298,134.27,67.79,459.15042928,3,2,6,3
"CHEMBL397919",6.8254,138.263,83.31,474.161328312,3,3,7,3
"CHEMBL244537",6.6805,134.8993,70.95,461.166079344,3,3,6,3
"CHEMBL244713",7.8508,148.7503,70.95,503.213029536,6,3,6,3
"CHEMBL397920",6.9976,143.4855,72.31,488.176978376,4,2,7,3
"CHEMBL244714",7.3877,148.1025,72.31,502.19262844,5,2,7,3
"CHEMBL244715",6.4138,135.605,77.02,475.1453439,4,2,7,3
