"chembl_id"," LogP"," SMR"," TPSA"," Molecular Weight"," Rotatable Bonds"," H-Bond Donors"," H-Bond Acceptors"," Aromatic Rings"
"CHEMBL1911658",6.0691,113.9915,45.25,481.086425736,6,2,2,3
"CHEMBL1911659",5.17828,111.0065,69.04,428.171162636,6,2,3,3
"CHEMBL1911660",4.7101,119.4013,79.39,481.153463972,7,2,4,3
"CHEMBL1911661",4.58178,124.1163,103.18,506.14871294,7,2,5,3
"CHEMBL1911662",4.58178,124.1163,103.18,506.14871294,7,2,5,3
"CHEMBL1911664",4.58178,124.1163,103.18,506.14871294,7,2,5,3
"CHEMBL1917243",5.2834,138.7496,87.49,529.175678724,4,2,7,2
"CHEMBL1917245",5.3054,143.2026,87.49,541.175678724,4,2,7,2
"CHEMBL1917246",5.2534,143.4816,87.49,559.166256912,4,2,7,2
"CHEMBL1917247",5.5747,147.9476,87.49,557.146128184,4,2,7,2
"CHEMBL1917248",5.2133,142.8536,87.49,523.185100536,4,2,7,2
"CHEMBL1917253",6.1805,154.6943,119.84,589.21342346,7,1,9,3
"CHEMBL1917413",6.11264,152.2733,106.7,583.206229904,7,1,9,2
"CHEMBL1917414",6.425,160.2113,106.7,603.174929776,7,1,9,3
"CHEMBL1917415",6.3635,162.3343,106.7,597.21850884,7,1,8,3
"CHEMBL1917416",4.91372,147.3603,119.59,562.213757808,7,1,9,2
"CHEMBL2113263",6.9938,143.5508,68.65,505.2286796,11,1,5,3
