8037,[*]OC(=O)c1ccccc1,None,None,[12*]O
10100,[*]OC(C)=O,None,None,[12*]C(C)CCCC(C)C
13693,[*]O,[1*]O,[11*]O,[12*]O
13695,[*]OC(C)=O,[1*]F,None,[12*]=O
13696,[*]OC(C)=O,None,None,[12*]OC(C)=O
13697,[*]OC1OC(C(=O)OC)C(O)C(O)C1O,None,[11*]OC(C)=O,[12*]OC(C)=O
13698,[*]O,None,[11*]O,[12*]O
13699,[*]O,None,[11*]O,[12*]O
13700,[*]O,None,[11*]OC(C)=O,[12*]OC(C)=O
13701,[*]O,None,None,[12*]=O
13702,[*]O,None,[11*]O,[12*]O
13703,[*]O,[1*]Br,None,[12*]O
13708,[*]O,None,None,[12*]O
13711,[*]OC(=O)CCC(=O)O,None,[11*]O,[12*]O
13712,[*]O,[1*]O,None,[12*]O
13713,[*]O,[1*]O,None,[12*]=O
13715,[*]O,[1*]N,None,[12*]O
13717,[*]O,[1*]N,None,[12*]=O
11165,None,None,None,[12*]C(C)CCCC(C)C
11166,None,None,None,[12*]C(C)CCCC(C)C
10143,None,None,None,[12*]OC(C)=O
13728,[*]O,[1*]O,None,[12*]O
13736,[*]O,None,[11*]O,[12*]=O
13738,[*]OC(C)=O,None,None,[12*]O
13739,[*]O,None,[11*]Br,[12*]=O
8620,[*]OCc1ccccc1,None,None,[12*]=O
13741,[*]O,None,[11*]I,[12*]O
8622,[*]OC(C)=O,None,[11*]OC(C)=O,[12*]=O
13727,[*]O,[1*]O,None,[12*]OC(C)=O
9661,[*]O,None,None,[12*]O
9662,[*]O,None,[11*]O,[12*]=O
9668,[*]OC(C)=O,None,[11*]OC(C)=O,[12*]=O
8651,[*]OC(=O)c1ccccc1,None,None,[12*]=O
8165,[*]OC(C)=O,None,None,[12*]OC(C)=O
8176,[*]OCc1ccccc1,None,[11*]O,[12*]=O
8178,[*]O,[1*]OC,None,[12*]OC(C)=O
