"molregno","nm","standard_type","standard_relation","confidence_score","chembl_id","smiles","SlogP","SMR","LabuteASA","TPSA","AMW","ExactMW","NumLipinskiHBA","NumLipinskiHBD","NumRotatableBonds","NumHBD","NumHBA","NumAmideBonds","NumHeteroAtoms","NumHeavyAtoms","NumAtoms","NumRings","NumAromaticRings","NumSaturatedRings","NumAliphaticRings","NumAromaticHeterocycles","NumSaturatedHeterocycles","NumAliphaticHeterocycles","NumAromaticCarbocycles","NumSaturatedCarbocycles","NumAliphaticCarbocycles","FractionCSP3","Chi0v","Chi1v","Chi2v","Chi3v","Chi4v","Chi1n","Chi2n","Chi3n","Chi4n","HallKierAlpha","kappa1","kappa2","kappa3","slogp_VSA1","slogp_VSA2","slogp_VSA3","slogp_VSA4","slogp_VSA5","slogp_VSA6","slogp_VSA7","slogp_VSA8","slogp_VSA9","slogp_VSA10","slogp_VSA11","slogp_VSA12","smr_VSA1","smr_VSA2","smr_VSA3","smr_VSA4","smr_VSA5","smr_VSA6","smr_VSA7","smr_VSA8","smr_VSA9","smr_VSA10","peoe_VSA1","peoe_VSA2","peoe_VSA3","peoe_VSA4","peoe_VSA5","peoe_VSA6","peoe_VSA7","peoe_VSA8","peoe_VSA9","peoe_VSA10","peoe_VSA11","peoe_VSA12","peoe_VSA13","peoe_VSA14","MQN1","MQN2","MQN3","MQN4","MQN5","MQN6","MQN7","MQN8","MQN9","MQN10","MQN11","MQN12","MQN13","MQN14","MQN15","MQN16","MQN17","MQN18","MQN19","MQN20","MQN21","MQN22","MQN23","MQN24","MQN25","MQN26","MQN27","MQN28","MQN29","MQN30","MQN31","MQN32","MQN33","MQN34","MQN35","MQN36","MQN37","MQN38","MQN39","MQN40","MQN41","MQN42"
189691,80.0,"EC50","=",7,"CHEMBL117286","Oc1ccc(cc1)c2cc(cc(c2)c3ccc(O)cc3)c4ccc(O)cc4",5.8044000000000056,107.74440000000001,156.9853869942771,60.69,354.4050000000001,354.125594436,3,3,3,3,3,0,3,27,45,4,4,0,0,0,0,0,4,0,0,0.0,14.501894824344266,8.61697281595657,6.439660178702585,4.534926835771432,3.0892314122330276,8.61697281595657,6.439660178702585,4.534926835771432,3.0892314122330276,-3.719999999999999,16.73256910128368,6.885168537608275,3.6246038698799845,0.0,15.319582184522117,0.0,0.0,0.0,90.99550602692418,0.0,33.380708950181976,0.0,0.0,17.248535499851716,0.0,15.319582184522117,0.0,0.0,0.0,0.0,0.0,90.99550602692418,0.0,50.62924445003369,0.0,15.319582184522117,0.0,0.0,0.0,0.0,36.39820241076966,87.97801256633649,0.0,0.0,17.248535499851716,0.0,0.0,0.0,0.0,24,0,0,0,0,0,0,0,0,3,0,0,6,0,0,12,12,0,3,6,3,3,3,0,0,3,0,0,0,15,9,0,0,0,0,4,0,0,0,0,0,0
106658,10000.0,"EC50",">",7,"CHEMBL66511","COc1ccc(cc1)c2cccc(c2)c3ccc(OC)cc3",5.037800000000003,90.41800000000003,130.502566219432,18.46,290.362,290.130679816,2,0,4,0,2,0,2,22,40,3,3,0,0,0,0,0,3,0,0,0.1,12.744699811203239,7.1888464865293455,5.037807673328097,3.709274820110266,2.4452582655324058,7.1888464865293455,5.037807673328097,3.709274820110266,2.4452582655324058,-2.7399999999999993,14.207946359590396,6.353802517229506,2.9606105566323926,9.473725907600098,14.219595082555067,0.0,0.0,0.0,72.79640482153933,0.0,22.253805966787983,0.0,0.0,11.49902366656781,0.0,9.473725907600098,0.0,0.0,0.0,0.0,14.219595082555067,72.79640482153933,0.0,33.752829633355795,0.0,9.473725907600098,0.0,0.0,0.0,0.0,42.46456947923127,52.58564130909603,0.0,14.219595082555067,11.49902366656781,0.0,0.0,0.0,0.0,20,0,0,0,0,0,0,0,0,2,0,0,6,0,0,9,9,0,4,4,2,0,0,0,0,2,2,0,0,12,6,0,0,0,0,3,0,0,0,0,0,0
106172,800.0,"EC50","=",7,"CHEMBL66279","Oc1ccc(cc1)c2cccc(c2)c3ccc(O)cc3",4.431800000000003,80.64360000000003,117.13405903601708,40.46,262.308,262.099379688,2,2,2,2,2,0,2,20,34,3,3,0,0,0,0,0,3,0,0,0.0,10.822630421275429,6.4113152106377145,4.674552641567524,3.2638471693432987,2.186081173568528,6.4113152106377145,4.674552641567524,3.2638471693432987,2.186081173568528,-2.7399999999999993,12.301818305334772,5.0953955739384185,2.495910273862201,0.0,10.213054789681411,0.0,0.0,0.0,72.79640482153933,0.0,22.253805966787983,0.0,0.0,11.49902366656781,0.0,10.213054789681411,0.0,0.0,0.0,0.0,0.0,72.79640482153933,0.0,33.752829633355795,0.0,10.213054789681411,0.0,0.0,0.0,0.0,42.46456947923127,52.58564130909603,0.0,0.0,11.49902366656781,0.0,0.0,0.0,0.0,18,0,0,0,0,0,0,0,0,2,0,0,4,0,0,9,9,0,2,4,2,2,2,0,0,2,0,0,0,12,6,0,0,0,0,3,0,0,0,0,0,0
189725,1200.0,"EC50","=",7,"CHEMBL116918","Oc1ccc(cc1)c2ccc(cc2)c3ccc(O)cc3",4.4318000000000035,80.64360000000002,117.13405903601708,40.46,262.308,262.099379688,2,2,2,2,2,0,2,20,34,3,3,0,0,0,0,0,3,0,0,0.0,10.822630421275429,6.4113152106377145,4.671098317873574,3.2861762687125586,2.162888493275781,6.4113152106377145,4.671098317873574,3.2861762687125586,2.162888493275781,-2.7399999999999993,12.301818305334772,5.0953955739384185,2.495910273862201,0.0,10.213054789681411,0.0,0.0,0.0,72.79640482153933,0.0,22.253805966787983,0.0,0.0,11.49902366656781,0.0,10.213054789681411,0.0,0.0,0.0,0.0,0.0,72.79640482153933,0.0,33.752829633355795,0.0,10.213054789681411,0.0,0.0,0.0,0.0,48.53093654769288,46.519274240634424,0.0,0.0,11.49902366656781,0.0,0.0,0.0,0.0,18,0,0,0,0,0,0,0,0,2,0,0,4,0,0,9,9,0,2,4,2,2,2,0,0,2,0,0,0,12,6,0,0,0,0,3,0,0,0,0,0,0
190516,4.0,"EC50","=",7,"CHEMBL113704","CC1C(Oc2ccc(O)cc2C1=O)c3ccc(O)cc3",3.050300000000001,73.07710000000002,115.80596946356088,66.76,270.284,270.089208928,4,2,1,2,4,0,4,20,34,3,2,0,1,0,0,1,2,0,0,0.1875,10.907076194634277,6.388599094830426,4.963372180087087,3.5718491914351294,2.455628065698842,6.388599094830426,4.963372180087087,3.5718491914351294,2.455628065698842,-2.4899999999999998,12.539082327374338,4.5607078165095984,1.9898582331018841,4.736862953800049,15.996299736046351,0.0,5.917906046161393,28.94914375490474,42.46456947923127,0.0,0.0,0.0,0.0,17.248535499851716,0.0,19.744454927553285,0.0,0.0,5.917906046161393,13.027703587438927,0.0,53.59147246262526,0.0,17.248535499851716,5.783244946364939,14.94991774348146,4.794537184071822,0.0,0.0,0.0,19.056471336613843,35.89528683400505,0.0,11.48135753785839,23.352501887600017,5.783244946364939,0.0,0.0,0.0,16,0,0,0,0,0,0,0,0,3,1,0,4,1,0,11,6,0,1,8,4,2,2,0,0,4,0,0,0,8,8,0,0,0,0,3,0,0,0,0,2,1
190782,10000.0,"EC50",">",7,"CHEMBL114519","COc1ccc(cc1)C2Oc3ccc(O)cc3C(=O)C2C",3.3533000000000017,77.96430000000002,122.49022305526836,55.76,284.31100000000004,284.104858992,4,1,2,1,4,0,4,21,37,3,2,0,1,0,0,1,2,0,0,0.23529411764705882,11.868110889598182,6.777364732776242,5.144999695967373,3.7945630168186146,2.585216611680779,6.777364732776242,5.144999695967373,3.7945630168186146,2.585216611680779,-2.4899999999999998,13.491100893571794,5.12738439535651,2.330920877598315,9.473725907600098,17.99956988248318,0.0,5.917906046161393,28.94914375490474,42.46456947923127,0.0,0.0,0.0,0.0,17.248535499851716,0.0,19.374790486512627,0.0,0.0,5.917906046161393,13.027703587438927,7.109797541277533,53.59147246262526,0.0,17.248535499851716,5.783244946364939,14.580253302440804,4.794537184071822,0.0,0.0,0.0,19.056471336613846,35.89528683400505,0.0,18.591155079135923,23.352501887600017,5.783244946364939,0.0,0.0,0.0,17,0,0,0,0,0,0,0,0,3,1,0,5,1,0,11,6,0,2,8,4,1,1,0,0,4,1,0,0,8,8,0,0,0,0,3,0,0,0,0,2,1
126656,500.0,"ED50",">",7,"CHEMBL311878","Oc1ccc2oc3C(=O)c4c(O)cc(O)cc4Oc3c2c1",2.8091999999999997,74.7564,115.61976615942028,104.04,284.223,284.032087976,6,3,0,3,6,0,6,21,29,4,4,0,0,2,0,0,2,0,0,0.0,10.453137003839593,6.084175529501433,4.7099908148439855,3.3374498907235464,2.4326415776102333,6.084175529501433,4.7099908148439855,3.3374498907235464,2.4326415776102333,-3.15,11.658049962907372,3.694375983191115,1.4952798717114235,5.428790391900541,15.319582184522117,0.0,0.0,0.0,43.96067440048657,0.0,33.10452899549856,0.0,0.0,17.248535499851716,0.0,24.15388405862881,0.0,0.0,0.0,0.0,0.0,40.55516291828041,0.0,17.248535499851716,33.10452899549856,24.15388405862881,4.794537184071822,0.0,0.0,0.0,0.0,18.19910120538483,12.13273413692322,5.386224214464796,33.800799997601,5.583020141642242,11.011810533542782,0.0,0.0,15,0,0,0,0,0,0,0,0,4,2,0,3,1,0,10,10,0,0,12,6,3,3,0,0,4,0,0,0,7,10,0,0,0,1,3,0,0,0,0,6,3
250730,9.0,"IC50","=",7,"CHEMBL357283","Oc1ccc(cc1)C(=C(CC(F)(F)F)c2ccccc2)c3ccc(O)cc3",6.009300000000006,99.24360000000001,154.40083067019793,40.46,370.37,370.118064444,2,2,5,2,2,0,5,27,44,3,3,0,0,0,0,0,3,0,0,0.09090909090909091,14.240980890679284,8.27468509881514,6.1052811155126525,4.113209794681335,2.94589321445774,8.27468509881514,6.1052811155126525,4.113209794681335,2.94589321445774,-3.2099999999999995,18.577206477708444,7.577134595224468,4.697989229484222,0.0,16.389353307124885,0.0,0.0,23.111176098016994,78.86277189000094,0.0,11.146209060138535,0.0,13.171245143024459,11.49902366656781,0.0,23.384299932705872,0.0,0.0,0.0,12.597120140369483,0.0,95.55312636509194,0.0,11.49902366656781,11.146209060138535,10.213054789681411,0.0,0.0,13.171245143024459,0.0,54.59730361615449,52.10203180907596,0.0,6.4208216229260096,11.49902366656781,0.0,0.0,0.0,6.176298517443475,22,3,0,0,0,0,0,0,0,2,0,0,10,1,0,9,9,0,5,4,2,2,2,0,0,5,1,2,1,13,5,0,0,0,0,3,0,0,0,0,0,0
50263,150.0,"IC50","=",7,"CHEMBL415864","Oc1ccc(cc1)C(=Cc2ccccc2)c3ccc(O)cc3",4.686700000000004,89.62860000000002,129.17434023262604,40.46,288.346,288.115029752,2,2,3,2,2,0,2,22,38,3,3,0,0,0,0,0,3,0,0,0.0,11.977330959654681,7.077981877304381,5.062444353099129,3.4671946158902074,2.331240986908954,7.077981877304381,5.062444353099129,3.4671946158902074,2.331240986908954,-2.999999999999999,13.959183673469388,6.185493460166469,3.1789627465303143,0.0,10.213054789681411,0.0,0.0,16.690354475090988,78.86277189000094,0.0,11.64912463690315,0.0,0.0,11.49902366656781,0.0,10.213054789681411,0.0,0.0,0.0,0.0,0.0,95.55312636509194,0.0,11.49902366656781,11.64912463690315,10.213054789681411,0.0,0.0,0.0,0.0,54.59730361615449,52.604947385840575,0.0,0.0,11.49902366656781,0.0,0.0,0.0,0.0,20,0,0,0,0,0,0,0,0,2,0,0,5,1,0,9,9,0,3,4,2,2,2,0,0,2,1,1,0,13,5,0,0,0,0,3,0,0,0,0,0,0
6968,500.0,"IC50","=",7,"CHEMBL83","CC\C(=C(/c1ccccc1)\c2ccc(OCCN(C)C)cc2)\c3ccccc3",5.9961000000000055,119.58200000000004,168.6489043143239,12.47,371.524,371.224914548,2,0,8,0,2,0,2,28,57,3,3,0,0,0,0,0,3,0,0,0.23076923076923078,17.059685998178228,9.90684881871516,7.115272621558707,4.790265908287313,3.348420112266566,9.90684881871516,7.115272621558707,4.790265908287313,3.348420112266566,-2.839999999999999,19.908794575753564,9.910993617354528,5.113643813383921,4.736862953800049,32.14689206663035,0.0,0.0,30.034913297707618,84.92913895846256,0.0,11.146209060138535,0.0,0.0,5.749511833283905,0.0,4.736862953800049,0.0,4.899909730850478,0.0,13.344558822616634,27.246982335779872,101.61949343355356,0.0,5.749511833283905,11.146209060138535,9.636772684650527,0.0,0.0,0.0,0.0,79.72014202122996,60.48546326043312,6.544756405912575,0.0,12.356393797796823,0.0,0.0,0.0,0.0,26,0,0,0,0,0,0,1,0,1,0,0,11,1,0,9,9,0,8,3,2,0,0,0,0,3,4,3,0,14,4,0,0,0,0,3,0,0,0,0,0,0
