molregno,EC50 [nm],SlogP,SMR,LabuteASA,TPSA,ExactMW,NumRotatableBonds,NumHBD,NumHBA,NumAmideBonds,NumHeteroAtoms,NumHeavyAtoms,NumAtoms,NumRings,NumAromaticRings,NumSaturatedRings,NumAliphaticRings,NumAromaticHeterocycles,NumSaturatedHeterocycles,NumAliphaticHeterocycles,NumAromaticCarbocycles,NumSaturatedCarbocycles,NumAliphaticCarbocycles
129981,12.8333333333,5.63,112.0108,174.2262853514,38.05,406.185669828,3,1,3,0,5,30,54,5,3,1,2,1,0,0,2,1,2
130044,24.2,5.7265,114.5408,174.0660553332,38.05,408.16716264,3,1,4,0,5,29,54,5,3,1,2,2,0,0,1,1,2
130074,43.25,4.5282,96.9488,147.7335399712,38.05,340.19509164,2,1,3,0,4,25,50,4,2,1,2,1,0,0,1,1,2
130075,14.3,4.1381,92.3318,141.3685978568,38.05,326.179441576,2,1,3,0,4,24,47,4,2,1,2,1,0,0,1,1,2
130089,54.2,5.1965,113.7176,174.8549837006,58.28,404.19000626,3,2,4,0,5,30,55,5,3,1,2,1,0,0,2,1,2
130114,15.85,5.63,112.0108,174.2262853514,38.05,406.185669828,3,1,3,0,5,30,54,5,3,1,2,1,0,0,2,1,2
130696,352.0666666667,5.7777,118.5208,189.8703080982,47.28,454.1868127,4,1,4,0,7,33,58,5,3,1,2,1,0,0,2,1,2
130792,1.9,6.1443,117.0628,180.3640161753,38.05,422.156119288,3,1,3,0,5,30,54,5,3,1,2,1,0,0,2,1,2
130825,10.2,5.93842,116.7478,180.5912274658,38.05,420.201319892,3,1,3,0,5,31,57,5,3,1,2,1,0,0,2,1,2
130826,31.3,5.6386,118.5628,185.7047726953,47.28,436.196234512,4,1,4,0,6,32,58,5,3,1,2,1,0,0,2,1,2
309702,5.6,2.4189,95.4874,157.5068434969,94.83,378.184252184,1,3,4,0,6,27,54,4,0,3,4,0,0,0,0,3,4
313314,12.4,2.7168,112.8666,183.2281021048,93.06,430.235538808,4,2,6,0,6,31,65,5,0,4,5,0,1,1,0,3,4
324875,94,6.7056,127.4358,190.3827777506,38.05,444.16716264,3,1,4,0,5,32,57,6,4,1,2,2,0,0,2,1,2
324928,4443,5.025,109.8058,173.4459333323,50.94,407.180918796,3,1,4,0,6,30,53,5,3,1,2,2,0,0,1,1,2
